keys,en
"JEU DE RÔLE · SOLO & MULTIJOUEUR LOCAL","TABLETOP RPG · SOLO & LOCAL MULTIPLAYER"
"Invente ton monde, rassemble ton groupe et vis des aventures où chaque action compte — avec un MJ humain ou une IA qui s'adapte à tes choix.","Invent your world, gather your party and live adventures where every action counts — with a human GM or an AI that adapts to your choices."
"🎮 Lancer une partie","🎮 Start a game"
"🗺️ Partie en cours","🗺️ Ongoing game"
"🏛️ Hub & Gestion","🏛️ Hub & Management"
"💬 Discord","💬 Discord"
"Rejoindre la communauté OpenQuest sur Discord","Join the OpenQuest community on Discord"
"← Accueil","← Home"
"Partie en cours","Ongoing game"
"⚙️ Nouvelle Partie","⚙️ New Game"
"Comment ça marche ?","How does it work?"
"1. Prépare — Un ou plusieurs personnages et un scénario (ou utilise les démos intégrées).","1. Prepare — One or more characters and a scenario (or use the built-in demos)."
"2. Configure — Mode aventure ou enquête, solo ou multijoueur, MJ IA ou humain.","2. Configure — Adventure or investigation mode, solo or multiplayer, AI or human GM."
"3. Joue — Décris ton action, le MJ répond, les bots jouent après toi, lance les dés.","3. Play — Describe your action, the GM replies, bots play after you, roll the dice."
"4. Termine — Sauvegarde automatique de l'historique de tes quêtes.","4. Finish — Your quest history is saved automatically."
"⚔️ Aventure","⚔️ Adventure"
"One-shots en une session (3–4 h) ou campagnes longues sur plusieurs chapitres — exploration, combat et arcs narratifs.","One-shots in a single session (3–4 h) or long campaigns across several chapters — exploration, combat and story arcs."
"🔍 Enquête","🔍 Investigation"
"Mystères urbains, interrogatoires, indices cachés et déductions policières en mode polar.","Urban mysteries, interrogations, hidden clues and detective deductions in noir mode."
"🎲 Salon multijoueur (P2P)","🎲 Multiplayer lobby (P2P)"
"Le MJ crée la partie (pooling + ENet). Les joueurs rejoignent via le code à 4 chiffres.","The GM creates the game (pooling + ENet). Players join with the 4-digit code."
"Rôle :","Role:"
"Pseudo :","Name:"
"Votre pseudo","Your display name"
"Pooling :","Pooling:"
"🔌 Connexion pooling","🔌 Connect pooling"
"○ Non connecté","○ Not connected"
"🎲 Créer une partie (MJ)","🎲 Create a game (GM)"
"🔗 Rejoindre une partie","🔗 Join a game"
"↩ Reconnecter","↩ Reconnect"
"✕ Quitter","✕ Leave"
"👥 Joueurs du salon","👥 Lobby players"
"Personnage :","Character:"
"✓ Enregistrer mon personnage (salon)","✓ Register my character (lobby)"
"🚀 Lancer la partie","🚀 Launch game"
"⏳ En attente du MJ...","⏳ Waiting for the GM..."
"Effacer cette partie ? Toute la progression sera perdue.","Delete this save? All progress will be lost."
"Langue :","Language:"
"👑 Maître du Jeu (MJ)","👑 Game Master (GM)"
"⚔️ Joueur","⚔️ Player"
"Aventurier (par défaut)","Adventurer (default)"
"Connexion pooling en cours...","Connecting to pooling..."
"Seul le MJ peut créer une partie.","Only the GM can create a game."
"Connectez-vous au pooling d'abord.","Connect to pooling first."
"Le MJ crée la partie — les joueurs rejoignent par code.","The GM creates the game — players join with the code."
"Code à 4 chiffres requis.","A 4-digit code is required."
"Reconnexion au salon %s...","Reconnecting to lobby %s..."
"Rejoignez ou créez un salon d'abord.","Join or create a lobby first."
"✓ Personnage enregistré : %s","✓ Character registered: %s"
"👑 Code à partager : %s","👑 Code to share: %s"
"🔗 Partie : %s","🔗 Game: %s"
"● Hôte ENet actif — %s","● ENet host active — %s"
"● Connecté P2P (ENet)","● Connected P2P (ENet)"
"● Pooling connecté (%s%s%s)","● Pooling connected (%s%s%s)"
"○ Non connecté — lancez npm run dev dans server/","○ Not connected — run npm run dev in server/"
"Créez une partie pour obtenir le code à partager.","Create a game to get a shareable code."
"Rejoignez une partie avec le code du MJ.","Join a game with the GM's code."
"Aucune partie en cours","No ongoing games"
"%d partie(s) en cours","%d ongoing game(s)"
"Effacer la partie « %s » ? Toute la progression sera perdue.","Delete save « %s »? All progress will be lost."
"Effacer la partie","Delete save"
"Effacer","Delete"
"Annuler","Cancel"
"Partie de %s","%s's game"
"Le MJ a quitté — salon %s fermé.","The GM left — lobby %s closed."
"Le MJ s'est déconnecté — salon %s fermé.","The GM disconnected — lobby %s closed."
"MJ","GM"
"Hôte","Host"
"salon %s","lobby %s"
